Time (hrs),LED Luminosity,Unit Number,Temperature (K)
5712,0.803,Unit 19,298.15
6048,0.7811,Unit 19,298.15
6384,0.8106,Unit 19,298.15
6720,0.8115,Unit 19,298.15
7056,0.7771,Unit 19,298.15
7392,0.7619,Unit 19,298.15
7728,0.7772,Unit 19,298.15
8064,0.7634,Unit 19,298.15
8400,0.7625,Unit 19,298.15
8736,0.7516,Unit 19,298.15
9072,0.7493,Unit 19,298.15
9408,0.7535,Unit 19,298.15
9744,0.764,Unit 19,298.15
336,0.9747,Unit 20,298.15
672,0.9998,Unit 20,298.15
1008,0.9803,Unit 20,298.15
1344,0.9429,Unit 20,298.15
1680,0.907,Unit 20,298.15
2016,0.9328,Unit 20,298.15
2352,0.9241,Unit 20,298.15
2688,0.9212,Unit 20,298.15
3024,0.8968,Unit 20,298.15
3360,0.9257,Unit 20,298.15
3696,0.9068,Unit 20,298.15
4032,0.9085,Unit 20,298.15
4368,0.9189,Unit 20,298.15
4704,0.9304,Unit 20,298.15
5040,0.8948,Unit 20,298.15
5376,0.8694,Unit 20,298.15
5712,0.8713,Unit 20,298.15
6048,0.8693,Unit 20,298.15
6384,0.8846,Unit 20,298.15
6720,0.8828,Unit 20,298.15
7056,0.8691,Unit 20,298.15
7392,0.8595,Unit 20,298.15
7728,0.8774,Unit 20,298.15
8064,0.8671,Unit 20,298.15
8400,0.8706,Unit 20,298.15
8736,0.8574,Unit 20,298.15
9072,0.8484,Unit 20,298.15
9408,0.843,Unit 20,298.15
9744,0.8385,Unit 20,298.15
336,0.9663,Unit 21,298.15
672,0.9591,Unit 21,298.15
1008,0.9276,Unit 21,298.15
1344,0.9195,Unit 21,298.15
1680,0.9087,Unit 21,298.15
2016,0.883,Unit 21,298.15
2352,0.8881,Unit 21,298.15
2688,0.8677,Unit 21,298.15
3024,0.8423,Unit 21,298.15
3360,0.8279,Unit 21,298.15
3696,0.8082,Unit 21,298.15
4032,0.8001,Unit 21,298.15
4368,0.7993,Unit 21,298.15
4704,0.796,Unit 21,298.15
5040,0.7993,Unit 21,298.15
5376,0.7653,Unit 21,298.15
5712,0.7726,Unit 21,298.15
6048,0.7273,Unit 21,298.15
6384,0.7389,Unit 21,298.15
6720,0.7706,Unit 21,298.15
7056,0.7285,Unit 21,298.15
7392,0.7383,Unit 21,298.15
7728,0.7619,Unit 21,298.15
8064,0.7257,Unit 21,298.15
8400,0.6993,Unit 21,298.15
8736,0.6865,Unit 21,298.15
9072,0.695,Unit 21,298.15
9408,0.688,Unit 21,298.15
9744,0.6773,Unit 21,298.15
336,0.9749,Unit 22,298.15
672,0.9402,Unit 22,298.15
1008,0.9104,Unit 22,298.15
1344,0.8834,Unit 22,298.15
1680,0.8982,Unit 22,298.15
2016,0.8892,Unit 22,298.15
2352,0.8509,Unit 22,298.15
2688,0.8627,Unit 22,298.15
3024,0.8387,Unit 22,298.15
3360,0.8366,Unit 22,298.15
3696,0.7974,Unit 22,298.15
4032,0.7907,Unit 22,298.15
4368,0.7978,Unit 22,298.15
4704,0.7795,Unit 22,298.15
5040,0.7806,Unit 22,298.15
5376,0.7971,Unit 22,298.15
5712,0.771,Unit 22,298.15
6048,0.786,Unit 22,298.15
6384,0.7614,Unit 22,298.15
6720,0.7561,Unit 22,298.15
7056,0.7569,Unit 22,298.15
7392,0.7193,Unit 22,298.15
7728,0.7152,Unit 22,298.15
8064,0.7585,Unit 22,298.15
8400,0.7222,Unit 22,298.15
8736,0.7426,Unit 22,298.15
9072,0.7312,Unit 22,298.15
9408,0.7244,Unit 22,298.15
9744,0.7247,Unit 22,298.15
336,0.9289,Unit 23,298.15
672,0.9488,Unit 23,298.15
1008,0.8989,Unit 23,298.15
1344,0.8783,Unit 23,298.15
1680,0.8782,Unit 23,298.15
2016,0.8369,Unit 23,298.15
2352,0.8019,Unit 23,298.15
2688,0.8284,Unit 23,298.15
3024,0.783,Unit 23,298.15
3360,0.793,Unit 23,298.15
3696,0.8194,Unit 23,298.15
4032,0.7791,Unit 23,298.15
4368,0.769,Unit 23,298.15
4704,0.7887,Unit 23,298.15
5040,0.7537,Unit 23,298.15
5376,0.7616,Unit 23,298.15
5712,0.7365,Unit 23,298.15
6048,0.7435,Unit 23,298.15
6384,0.7282,Unit 23,298.15
6720,0.7209,Unit 23,298.15
7056,0.732,Unit 23,298.15
7392,0.7161,Unit 23,298.15
7728,0.6967,Unit 23,298.15
8064,0.7161,Unit 23,298.15
8400,0.6929,Unit 23,298.15
8736,0.6862,Unit 23,298.15
9072,0.6807,Unit 23,298.15
9408,0.6835,Unit 23,298.15
9744,0.6458,Unit 23,298.15
336,0.9704,Unit 24,298.15
672,0.9343,Unit 24,298.15
1008,0.9191,Unit 24,298.15
1344,0.8936,Unit 24,298.15
1680,0.8613,Unit 24,298.15
2016,0.8632,Unit 24,298.15
2352,0.8689,Unit 24,298.15
2688,0.818,Unit 24,298.15
3024,0.8221,Unit 24,298.15
3360,0.8006,Unit 24,298.15
3696,0.8135,Unit 24,298.15
4032,0.756,Unit 24,298.15
4368,0.7617,Unit 24,298.15
4704,0.7449,Unit 24,298.15
5040,0.7384,Unit 24,298.15
5376,0.7381,Unit 24,298.15
5712,0.7324,Unit 24,298.15
6048,0.7098,Unit 24,298.15
6384,0.6991,Unit 24,298.15
6720,0.6862,Unit 24,298.15
7056,0.6832,Unit 24,298.15
7392,0.6799,Unit 24,298.15
7728,0.6793,Unit 24,298.15
8064,0.6618,Unit 24,298.15
8400,0.6677,Unit 24,298.15
8736,0.6383,Unit 24,298.15
9072,0.6322,Unit 24,298.15
9408,0.6252,Unit 24,298.15
9744,0.6347,Unit 24,298.15
336,0.9993,Unit 25,298.15
672,0.9749,Unit 25,298.15
1008,0.9602,Unit 25,298.15
1344,0.9905,Unit 25,298.15
1680,0.9885,Unit 25,298.15
2016,0.9259,Unit 25,298.15
2352,0.9548,Unit 25,298.15
2688,1.012,Unit 25,298.15
3024,0.9959,Unit 25,298.15
3360,0.9426,Unit 25,298.15
3696,0.9428,Unit 25,298.15
4032,0.9442,Unit 25,298.15
4368,0.9278,Unit 25,298.15
4704,0.939,Unit 25,298.15
5040,0.9604,Unit 25,298.15
5376,0.962,Unit 25,298.15
5712,0.9385,Unit 25,298.15
6048,0.9662,Unit 25,298.15
6384,0.9427,Unit 25,298.15
6720,0.9341,Unit 25,298.15
7056,0.9641,Unit 25,298.15
7392,0.942,Unit 25,298.15
7728,0.94,Unit 25,298.15
8064,0.9577,Unit 25,298.15
8400,0.9106,Unit 25,298.15
8736,0.932,Unit 25,298.15
9072,0.9289,Unit 25,298.15
9408,0.958,Unit 25,298.15
9744,0.9166,Unit 25,298.15
336,0.9538,Unit 26,338.15
672,0.8857,Unit 26,338.15
1008,0.8879,Unit 26,338.15
1344,0.8635,Unit 26,338.15
1680,0.835,Unit 26,338.15
2016,0.8165,Unit 26,338.15
2352,0.8034,Unit 26,338.15
2688,0.7824,Unit 26,338.15
3024,0.7959,Unit 26,338.15
3360,0.7761,Unit 26,338.15
3696,0.7572,Unit 26,338.15
4032,0.7451,Unit 26,338.15
4368,0.7203,Unit 26,338.15
4704,0.7343,Unit 26,338.15
5040,0.7416,Unit 26,338.15
5376,0.7232,Unit 26,338.15
5712,0.7175,Unit 26,338.15
6048,0.7079,Unit 26,338.15
6384,0.6831,Unit 26,338.15
6720,0.6873,Unit 26,338.15
7056,0.6841,Unit 26,338.15
7392,0.6402,Unit 26,338.15
7728,0.632,Unit 26,338.15
8064,0.651,Unit 26,338.15
8400,0.6302,Unit 26,338.15
8736,0.6468,Unit 26,338.15
9072,0.6245,Unit 26,338.15
9408,0.6312,Unit 26,338.15
